Review,Rating
Version 2.0 works great on EVO 4G.,5
App store and market place go tell me to update if I click update on one service the other does not recognized that it wad updated and they fight back,5
Esssyons thanks for the well wishes and support. R/Jim,4
The latest update sucks. If you have an earlier version stick with it.,2
"Updates just hang, linkedin not available",1
"So much better! Love this version of the app, previous version was unusable, this one is a must have!",4
Wish there was a way to switch between my 2 different LinkedIn accounts.,3
Version 2 is a nice update.,4
New version alot better,4
Very slow. Needs app2sd,4
great,5
Sleek UI,5
Contacts Sync is a 5 star must-have!,5
Love the new interface. It is easy to navigate and a real joy to use.,5
Nice new interface but needs ability to edit profile and also be movable to SD to be 5 star.,4
Update. Great new version. Finally have access to groups!,4
Would like the ability to edit profile.,4
New version is very good,5
I have not been successful posting a new group discussion,4
All good,5
Latest version is great! Seems like a real social network finally and even includes relevant news stories.,5
Working fine now after rebooting the phone. Very slick,4
No SD?,3
Great updatr,5
Pls add some more features to this. A sent option would be nice. Also add a frequency for updates and notifications.,3
It's getting better. Keep upgrading.,5
Nice interface and overall performance is better,5
Need facility to move to SD,3
Really Impressive !!!!!,5
Avoid version 2! Everything that was good is now ruined.,1
Much faster now.,4
Would give it 5 stars if I could update my profile. Please add.,4
It was a much better app before the layout changes,2
Good style for the new version!,4
Like the UI and etc. But it is draining my battery after installing!,3
The new LinkedIn app is really nice! Congrats!,4
Great update! This now wants me use the app and keep myself updated! Love the updates and little things with UI.,5
Would give 5 stars if I could update my profile. But still much better than the last version,4
Can't even log in after the update!,1
"The new update doesnt has menu pending invitation? The previous version is better than the new one. Sorry, we need simple user interface",2
Great effort in rewriting it. You have to focus on adding all features the web version gives us.,4
"Good app, but out needs to save login information. Would also like it to allow editing my profile.",4
Works after updating to 2.0.1.,4
"Normally, I would give this app at least 4 stars but since the update it's not working. It's on an endless loading cycle when you select a connection",2
Funutation likes,5
Good program rewrite is excellent. works great on the HTC Desire,4
I actually use Linked In more.,4
Who has viewed my profile?,4
Why would they need to modify secure settings or delete other applications data? Not downloading.,1
The app may be nice but I don't like the fact it asks for permissions to change system settings and want access to my phonebook... Uninstalled.,2
"It asks for permission to your phone book because it either finds your LinkedIn contacts from your phone, or it adds them to your contacts.",4
What happened to the option of posting to my twitter acct? The UI nice though...,3
App is Gud bt need a feature of notifications whn v Gt msgs from our contacts.,3
good,5
"After the update to the new interface it stopped synching on HTC Sensation. Logs on, but no updates. Now uninstalling.",1
Excellent,5
"Awesome update, keep it up",5
Excellent,5
Not a fan of the new UI,3
"This latest release of the application (2.0) is not only beautiful, but smooth, fast and easy to navigate. It is also feature rich and highly useful.",5
Take a great idea and douche it up...,1
Why does this app all of a sudden need to know my phone state and identity? Along with the calls? I'm tired of the privacy trade off. Period.,2
"I don't want to merge my LinkedIn contacts with my phone, and don't want it to access my phone contacts. Does the update give choice?",1
Much much improved. Needs an on screen go back button in each view. News reader needs more improvement and cap on number of items. Htc Tattoo on CM7,3
Nice app. Works great.,4
"I set it to sync with my contacts it locked my contacts from being edited on my phone. When I logged out my contacts were gone, ones I put on my phone",1
I AM A FAN!,5
"I found a double does of linkedin contacts upon updating. Rather than updating existing contacts, the app creates linkedin specific contacts, so in some cases I had 3 of the same contacts. I do find the app to otherwise be fantastic - great UI, and easily information is easily accesible.",4
Space key on keyboard not working. Hope this is sorted soon. HTC dhd,4
Much harder to get around than old system. don't upgrade if you have not yet,1
The new update renders this app useless. By pass the app and just check on things with computer or browser.,1
not bad.. but very slow as compared to website,2
Please remove / make contact sync configurable. Uninstalled for now.,1
Version 2 is a great application compared with the earlier versions. Many new features and better interface.,4
Sad recent ui. Too poor. Earlier must be rolled back to,1
Previous version of the app was great. V2.0 is a huge step back in every possible way - a rollback would be more than welcome.,1
Very poor. Roll back to first version please,1
Sorry the old interface was much better.,1
Just updated application and wish I hadn't. Not very user friendly or visually appealing.,2
However contact sync doesn't sync photos so it's still not great. I don't really use the main app,2
awsum,4
Great app,4
Great app!,5
Great new UI,5
Why would this app need permission to delete other app's data and change secure system settings? Uninstalling now.,1
Would have been 5 stars but there is no way edit profile or upload a picture,3
Plse provide Move to SD capability!,3
Please add Group functions!!!!,4
It messed up my contact list when it merged LinkedIn with my contact. Many contacts listed 4 times. I deleted them in my phone deleted in Gmail,1
"When attempting to access ""you"" or contacts app hangs on ""loading"" - now working",4
Latest update just made this a five star app,4
"As with many other comments, I don't like the new version. The old version was much simpler, new one is just cluttered.",1
This new version will not let you send invitations. It is buggy. Hope they fix it soon.,2
I can't Sing in through this version!,1
Liked the old version better. New one is messy and not useful,1
Good enough :),4
Gives access to your account but can't move the app to SD. Takes to much space.,3
Forces close every time I attempt to open uninstall.:( Samsung Galaxy,3
Old version looked a lot better. The new one is just cluttered.,2
The new version won't let you send invitations to contacts. Not very useful.,1
Want to connect to other professional then you need this app to help you. Jobs find you!!!!,5
What a backwards step! New interface is cluttered. The news bar is irritating.,2
"it insists my log in details are incorrect, when they are not. Very frustrating.",1
"Backward step with new user interface. Why not ""keep it simple""?",1
Come on......you guys can do better than this.....,1
Large file size at over 2.5mb and can't move to SD card. Shame really as have had to uninstall,2
"The old interface was just fine, this is confusing, cluttered and just less intuitive... Disappointed",1
This new version is super!,5
Keeps giving error message unavailable try back later...been 3 days tried deleting and reinstalled still not working right on HTC EVO,1
Works for me,4
Am not able to add people I find using the app.,3
"Don't like the new UI. Also, need to be able to do things like edit my profile.",2
DOESN'T work...installed and it won't open to do anything,1
HTC Desire HD - Just says that it is loading after I log on... Service unavailable... I'm shocked that it doesn't work since It's LinkedIn.,1
Very much slow.... Takes lots of time to load....,1
does not finish loading any of my data,1
"Latest update is great, better than other official social network apps",5
Application as such ok. But missing possibility to move to SD card . Taking too much memory. Uninstalled.,3
retardedly tedious to log out of app. Uninstalled.,1
Sucks,1
So much better than previous versions and other mobile phone versions of app. Can finally read discussions in groups,4
New layout is horrible. Bring back the old app.,1
it's worse than the old one....,1
HATE the new update/layout!!! So hard to look at and find things. I loved the old version!,1
Awesome app,5
This feels much nicer than before. Breaks the tradition of how a social app should look like,4
"Thinks there are no discussions in some of my Groups, when there are several. So more work needed in Groups support. Otherwise, very nice.",3
"The new release 2.0 is far better than the old version. Faster, better UI, more features... missing push notifications, and real sharing",4
Need to UI attractive,3
Good job,5
Ok app - needs to be transferable to SD card storage,4
Yikes... Talk about losing focus on your target audience. New layout belongs on a dodgy dating site.,1
Quick and easy to use. Great app!,5
"Still quite slow and flaky on the Galaxy S, but much improved yet clumsy UI. Keep getting unintended taps. Ap freezes regularly for extended periods.",3
"Can't trust, Going to uninstall just for that reason.",1
"It really gets me linked in with my friends. HAHA, get it linked in. LOL",5
"It lacks most of what makes the other social networking apps ""for Android"" great.",4
Really disappointed in the new version. Seems more focused on news then LinkedIn. App consistently freezes on my Captivate.,2
One of the best looking and well designed apps in the market. Clean and nice UI.,5
